sample_id	outcome	action
CY_ALA_LP_299-Du-768	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_ALA_LP_357_Du-769	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_BAL_LP_226_Du-602	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_BAL_LP_227_Du-603	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_BAL_LP_228_Du-604	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_BGL_LP_210_Du-577	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_BGL_LP_212_Du-579	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_BOU_LP_288_Du-737	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_BOU_LP_290_Du-739	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_BOU_LP_291_Du-740	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_BOU_LP_292_Du-741	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_BOU_LP_354_Du-742	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_CAS_LP_328_Du-610	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_CAS_LP_329_Du-611	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_CAS_LP_330_Du-607	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_CAS_LP_331_Du-608	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_CAS_LP_332_Du-609	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HICN_LP_236_Du-614	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HICN_LP_333_Du-612	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HICN_LP_334_Du-613	suspected	with_and_without_sensitivity
CY_HICN_LP_335_Du-615	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HICN_LP_336_Du-616	suspected	with_and_without_sensitivity
CY_HICS_LP_293_Du-757	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HICS_LP_295_Du-759	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HICS_LP_297_Du-761	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HICS_LP_355_Du-762	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HICS_LP_356_Du-763	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HUN_LP_264_Du-683	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HUN_LP_265_Du-684	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HUN_LP_266_Du-685	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HUN_LP_267_Du-686	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_HUN_LP_268_Du-687	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_RED_LP_202_Du-561	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_SIE_LP_188_Du-445	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_SIE_LP_189_Du-446	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_SIE_LP_190_Du-447	suspected	with_and_without_sensitivity
CY_SIE_LP_191_Du-448	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_WOO_LP_259_Du-664	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_WOO_LP_260_Du-665	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_WOO_LP_261_Du-667	suspected	with_and_without_sensitivity
CY_WOO_LP_262_Du-668	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_WOO_LP_263_Du-669	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DAN_LP_043_Du-68	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DAN_LP_044_Du-69	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DAN_LP_045_Du-70	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DAN_LP_046_Du-71	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DAN_LP_047_Du-72	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DOV_LP_078_Du-174	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DOV_LP_079_Du-175	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DOV_LP_080_Du-176	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DOV_LP_081_Du-177	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DOV_LP_082_Du-178	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DOV_LP_083_Du-179	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DOV_LP_084_Du-180	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU-173	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU-229	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU-247	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU-254	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU-270	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU-297	suspected	with_and_without_sensitivity
DU-443	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU-4A	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU014LP012	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU037LP013	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU059LP015	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU078LP011	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DU079LP010	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DUD_LP_132_Du-283	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DUD_LP_133_Du-284	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DUD_LP_134_Du-285	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DUD_LP_135_Du-286	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DUD_LP_136_Du-287	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DUD_LP_137_Du-288	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DUD_LP_138_Du-289	unresolved	retain_with_limitation_no_replication_or_clonality_claim
DUD_LP_139_Du-290	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRN_LP_179_Du-421	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRN_LP_180_Du-422	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRN_LP_181_Du-423	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRN_LP_182_Du-424	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRN_LP_183_Du-425	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRN_LP_184_Du-426	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRN_LP_185_Du-427	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRN_LP_186_Du-428	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRN_LP_187_Du-429	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRT_LP_159_Du-364	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRT_LP_160_Du-365	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRT_LP_161_Du-366	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRT_LP_162_Du-367	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRT_LP_163_Du-368	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRT_LP_164_Du-369	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRT_LP_165_Du-370	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRT_LP_166_Du-371	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRT_LP_167_Du-372	unresolved	retain_with_limitation_no_replication_or_clonality_claim
KIRT_LP_168_Du-373	unresolved	retain_with_limitation_no_replication_or_clonality_claim
MALV_LP_095_Du-201	unresolved	retain_with_limitation_no_replication_or_clonality_claim
MALV_LP_096_Du-202	unresolved	retain_with_limitation_no_replication_or_clonality_claim
MALV_LP_097_Du-203	unresolved	retain_with_limitation_no_replication_or_clonality_claim
MALV_LP_098_Du-204	unresolved	retain_with_limitation_no_replication_or_clonality_claim
MALV_LP_099_Du-205	unresolved	retain_with_limitation_no_replication_or_clonality_claim
MALV_LP_100_Du-206	unresolved	retain_with_limitation_no_replication_or_clonality_claim
MALV_LP_101_Du-207	unresolved	retain_with_limitation_no_replication_or_clonality_claim
MALV_LP_102_Du-208	unresolved	retain_with_limitation_no_replication_or_clonality_claim
MALV_LP_103_Du-209	unresolved	retain_with_limitation_no_replication_or_clonality_claim
MALV_LP_104_Du-210	unresolved	retain_with_limitation_no_replication_or_clonality_claim
OCO_LP_058_Du-115	unresolved	retain_with_limitation_no_replication_or_clonality_claim
OCO_LP_059_Du-106	unresolved	retain_with_limitation_no_replication_or_clonality_claim
OCO_LP_060_Du-107	unresolved	retain_with_limitation_no_replication_or_clonality_claim
OCO_LP_061_Du-108	unresolved	retain_with_limitation_no_replication_or_clonality_claim
OCO_LP_062_Du-109	unresolved	retain_with_limitation_no_replication_or_clonality_claim
OCO_LP_063_Du-110	unresolved	retain_with_limitation_no_replication_or_clonality_claim
OCO_LP_064_Du-111	unresolved	retain_with_limitation_no_replication_or_clonality_claim
OCO_LP_065_Du-112	unresolved	retain_with_limitation_no_replication_or_clonality_claim
OCO_LP_066_Du-113	unresolved	retain_with_limitation_no_replication_or_clonality_claim
OCO_LP_067_Du-114	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI1_LP_249_Du-648	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI1_LP_250_Du-649	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI1_LP_251_Du-650	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI1_LP_252_Du-651	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI1_LP_253_Du-652	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI1_LP_254_Du-653	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI1_LP_255_Du-654	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI1_LP_256_Du-655	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI1_LP_257_Du-656	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI1_LP_258_Du-657	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI2_LP_243_Du-631	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI2_LP_244_Du-632	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI2_LP_245_Du-633	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI2_LP_246_Du-634	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI2_LP_247_Du-635	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI2_LP_248_Du-636	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI2_LP_337_Du-638	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI2_LP_338_Du-639	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI2_LP_339_Du-640	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUI2_LP_340_Du-641	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUIN_LP_069_Du-155	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUIN_LP_070_Du-156	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUIN_LP_071_Du-157	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUIN_LP_072_Du-158	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUIN_LP_073_Du-159	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUIN_LP_074_Du-160	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUIN_LP_075_Du-161	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUIN_LP_076_Du-162	unresolved	retain_with_limitation_no_replication_or_clonality_claim
QUIN_LP_077_Du-163	suspected	with_and_without_sensitivity
QUIN_LP_318_Du-164	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RIC_LP_192_Du-521	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RIC_LP_193_Du-522	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RIC_LP_194_Du-523	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RIC_LP_195_Du-524	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RIC_LP_196_Du-525	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RIC_LP_197_Du-526	suspected	with_and_without_sensitivity
RIC_LP_198_Du-527	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RIC_LP_199_Du-528	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RIC_LP_200_Du-529	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RIC_LP_201_Du-530	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RSV_LP_049_Du-85	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RSV_LP_050_Du-87	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RSV_LP_051_Du-88	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RSV_LP_052_Du-89	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RSV_LP_053_Du-90	suspected	with_and_without_sensitivity
RSV_LP_055_Du-92	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RSV_LP_057_Du-94	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RSV_LP_315_Du-95	unresolved	retain_with_limitation_no_replication_or_clonality_claim
RSV_LP_316_Du-96	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILG_LP_149_Du-343	suspected	with_and_without_sensitivity
SILG_LP_150_Du-344	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILG_LP_151_Du-345	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILG_LP_152_Du-346	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILG_LP_153_Du-347	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILG_LP_154_Du-348	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILG_LP_155_Du-349	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILG_LP_156_Du-350	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILG_LP_157_Du-351	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILG_LP_158_Du-352	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILR_LP_346_Du-729	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILR_LP_347_Du-730	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILR_LP_348_Du-731	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILR_LP_349_Du-732	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILR_LP_351_Du-734	unresolved	retain_with_limitation_no_replication_or_clonality_claim
SILR_LP_353_Du-736	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_027_Du-45	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_028_Du-46	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_029_Du-47	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_030_Du-48	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_031_Du-49	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_032_Du-50	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_033_Du-51	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_034_Du-52	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_035_Du-53	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_036_Du-54	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_037_Du-55	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_038_Du-56	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_039_Du-57	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_040_Du-58	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_041_Du-60	unresolved	retain_with_limitation_no_replication_or_clonality_claim
STI_LP_042_Du-61	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TIL_LP_123_Du-263	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TIL_LP_124_Du-264	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TIL_LP_125_Du-265	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TIL_LP_126_Du-266	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TIL_LP_127_Du-267	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TIL_LP_128_Du-268	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TIL_LP_129_Du-269	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TIL_LP_130_Du-271	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TIL_LP_131_Du-272	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_115_Du-242	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_116_Du-243	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_117_Du-244	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_118_Du-245	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_119_Du-246	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_120_Du-248	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_121_Du-249	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_122_Du-250	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_140_Du-302	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_141_Du-303	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_142_Du-304	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_143_Du-305	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_144_Du-306	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_145_Du-307	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_146_Du-308	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_147_Du-309	unresolved	retain_with_limitation_no_replication_or_clonality_claim
TULP_LP_148_Du-310	unresolved	retain_with_limitation_no_replication_or_clonality_claim
